dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
yeast,./data/numerical_only/balanced,"[[-1.8223371  -1.21027996 -3.23211366 -0.59237604 -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]",{'alm': ['<-0.7506106793880463']},{},{},{},{},"{'alm': ['<-1.2456426620483398'], 'mcg': ['<1.0717166662216187']}",{}
yeast,./data/numerical_only/balanced,"[[-3.65174399e-01 -4.03064024e-01 -3.88877164e-04  2.47216693e+00
  -9.75900073e-02 -9.91313957e-02 -1.71096214e-01 -5.27919305e-01]]","{'mit': ['>=1.3412046432495117'], 'mcg': ['>=-0.838752269744873']}",{},{},"{'mit': ['>=1.3412046432495117'], 'mcg': ['>=-1.4897238612174988'], 'vac': ['>=-2.1013023853302'], 'gvh': ['>=-1.7648022174835205'], 'nuc': ['<0.7729000747203827'], 'pox': ['>=-0.7175982296466827']}",{},"{'erl': ['<1.7491083145141602'], 'mit': ['>=1.5781563520431519'], 'alm': ['>=-2.712729334831238'], 'nuc': ['<0.866398274898529', '>=-2.2982544898986816']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186 -0.64522881  0.46128609 -0.66534135 -0.09759001 -0.0991314
   0.00198271  0.78719478]]","{'alm': ['<0.5189954787492752', '>=-0.058098249923205'], 'nuc': ['>=0.12963773868978024'], 'mcg': ['<0.5455522835254669', '>=-0.18302906304597855']}",{},{},"{'vac': ['<0.8016073405742645'], 'nuc': ['>=0.01691367372404784'], 'gvh': ['<-0.3223424255847931'], 'alm': ['>=0.1565806083381176'], 'pox': ['<0.24270099401474']}",{},"{'erl': ['>=-0.8860049843788147'], 'mit': ['<1.7493364810943604'], 'mcg': ['<2.5491509437561035'], 'vac': ['<0.512060284614563'], 'nuc': ['>=0.2025027945637703'], 'alm': ['>=-0.6822534799575806'], 'pox': ['<0.473536416888237']}",{}
yeast,./data/numerical_only/balanced,"[[-1.67662083 -0.88739359  1.846311   -1.1031332  -0.09759001 -0.0991314
  -1.03649083 -0.5279193 ]]","{'nuc': ['<-0.4809509366750717'], 'gvh': ['>=-1.3313623666763306']}",{},{},"{'erl': ['>=-1.077918529510498'], 'mit': ['<0.5739288032054901'], 'mcg': ['<1.195583462715149'], 'nuc': ['<-0.2857386916875839'], 'gvh': ['<-0.8816719353199005', '>=-1.3313623666763306'], 'alm': ['>=0.3819357007741928']}",{},"{'mit': ['<2.4064561128616333'], 'mcg': ['<-0.40160347521305084'], 'gvh': ['>=-1.3717231154441833'], 'nuc': ['<-0.23549779504537582'], 'alm': ['>=0.35098186135292053'], 'pox': ['>=-0.8633988797664642']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.29054882 -0.16089924  0.57670483  0.50210359 -0.09759001 -0.0991314
   0.86737733  1.16294166]]","{'mit': ['<1.3776872754096985', '>=-0.04513622121885419'], 'mcg': ['<0.5455522835254669'], 'nuc': ['>=0.17660609632730484'], 'alm': ['>=-0.058098249923205']}",{},{},"{'mit': ['<1.4278509616851807'], 'nuc': ['>=0.2822849079966545'], 'alm': ['>=0.1438845507800579'], 'pox': ['<0.3897819519042969']}",{},"{'mit': ['<1.457159399986267', '>=-0.2433658391237259'], 'nuc': ['>=0.36447954177856445'], 'alm': ['>=-0.8083200752735138'], 'pox': ['<1.0455102920532227']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.65483949  0.80775989 -0.11580762  1.23175668 -0.09759001 -0.0991314
   0.52121948  0.31751118]]","{'nuc': ['<0.36447954177856445'], 'mit': ['>=0.5385862290859222']}",{},{},"{'mit': ['>=1.016259789466858'], 'mcg': ['>=-0.5400339066982269'], 'nuc': ['<0.45783279836177826'], 'pox': ['>=-1.586102306842804']}",{},"{'mit': ['>=0.8182298243045807'], 'mcg': ['<1.7921726703643799', '>=-0.7128756940364838'], 'gvh': ['>=-0.8523575961589813'], 'nuc': ['<0.8555225133895874']}",{}
yeast,./data/numerical_only/balanced,"[[ 1.74771152  2.58363495 -0.46206385 -0.15458419 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]","{'mcg': ['>=1.2012754678726196'], 'gvh': ['>=1.332450270652771'], 'alm': ['>=-0.635191947221756'], 'nuc': ['<0.27054281532764435']}",{},{},"{'mcg': ['>=1.5272848010063171'], 'vac': ['<0.8302890062332153'], 'gvh': ['>=1.458321213722229'], 'alm': ['>= 0.7327220607455955 * nuc+-0.4047900655292219']}",{},"{'erl': ['>=-1.7121241688728333'], 'mit': ['<1.6797940135002136'], 'mcg': ['>=0.8882158100605011'], 'vac': ['<0.6812352538108826'], 'nuc': ['<0.06275849230587482'], 'gvh': ['>=1.029328167438507'], 'alm': ['<2.1348578333854675'], 'pox': ['>=-2.2077282667160034']}",{}
yeast,./data/numerical_only/balanced,"[[ 2.18486033  2.34147017 -0.80832007 -0.08161888 -0.09759001 -0.0991314
   0.34814056 -0.5279193 ]]","{'mcg': ['>=1.2012754678726196'], 'vac': ['>=-1.1230303049087524'], 'gvh': ['>=1.332450270652771'], 'alm': ['<-0.635191947221756']}",{},{},"{'mit': ['<1.1587913632392883'], 'mcg': ['>=1.3155022263526917'], 'vac': ['>=-0.26381706446409225'], 'nuc': ['>=-0.6154874563217163'], 'gvh': ['>=1.2949723601341248'], 'alm': ['<-0.5980930626392365']}",{},"{'mit': ['<1.1587913632392883'], 'mcg': ['>=0.8734138906002045'], 'vac': ['>=-0.6823506653308868'], 'nuc': ['>=-0.8222188055515289'], 'gvh': ['>=1.3174681663513184'], 'alm': ['<-0.5425602793693542']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.14483255 -0.32234243  0.11502987 -0.59237604 -0.09759001 -0.0991314
   0.00198271 -0.5279193 ]]",{'nuc': ['<-0.3870142176747322']},{},{},"{'mit': ['<0.6431698501110077'], 'gvh': ['<-0.24431155622005463', '>=-0.36270321905612946'], 'alm': ['>=-0.6659702956676483'], 'pox': ['<1.929166853427887']}",{},"{'mit': ['<0.013439211994409561'], 'vac': ['>=-1.204191267490387'], 'gvh': ['<1.6330734491348267', '>=-1.6718238592147827'], 'alm': ['>=-0.6873292028903961'], 'nuc': ['<0.23552317172288895']}",{}
yeast,./data/numerical_only/balanced,"[[-5.83748805e-01 -2.09821750e+00 -1.84708875e+00 -7.38306656e-01
  -9.75900073e-02 -9.91313957e-02  1.98271004e-03 -5.27919305e-01]]",{'alm': ['<-0.7506106793880463']},{},{},"{'erl': ['>=-1.5889808535575867'], 'mit': ['<1.4889594316482544'], 'mcg': ['<0.3233349919319153'], 'gvh': ['>=-3.861984372138977'], 'alm': ['<-1.3825814127922058']}",{},"{'alm': ['<-0.9106433093547821'], 'mit': ['<1.77561753988266', '>=-1.4829493165016174'], 'mcg': ['<0.2290617898106575']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.43626509  0.72703829  0.34586735 -0.73830666 -0.09759001 -0.0991314
  -4.49806931  1.3508151 ]]","{'nuc': ['>=-0.1991407796740532'], 'mit': ['<1.158791333436966']}",{},{},"{'mit': ['<0.6115515530109406'], 'alm': ['>=-0.8972887098789215'], 'nuc': ['>=-0.23632406443357468'], 'pox': ['<1.0978633165359497']}",{},"{'vac': ['<0.30098937451839447'], 'alm': ['>=-0.9631409049034119'], 'nuc': ['>=0.0976271703839302'], 'pox': ['<2.4351329803466797']}",{}
yeast,./data/numerical_only/balanced,"[[-0.21945813  0.32343032  0.46128609  1.59658323 -0.09759001 -0.0991314
   0.52121948 -0.15217242]]","{'nuc': ['<0.5523529797792435'], 'mit': ['>=0.5385862290859222'], 'mcg': ['>=-0.5473197400569916']}",{},{},"{'nuc': ['<0.033553892746567726'], 'mit': ['>=1.3278623819351196'], 'mcg': ['>= -0.5786596024597923 * pox+-1.4099735855171431']}",{},"{'mit': ['>=1.1316482424736023'], 'mcg': ['<2.0755730867385864', '>=-1.3487592339515686'], 'gvh': ['>=-2.09821754693985'], 'nuc': ['<1.1961419582366943', '>=-1.959659457206726']}",{}
yeast,./data/numerical_only/balanced,"[[-0.87518135 -0.16089924  1.0383798  -0.3005148  -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]",{'nuc': ['<-0.3870142176747322']},{},{},"{'erl': ['>=-3.3481472730636597'], 'mit': ['<0.5621234476566315'], 'mcg': ['<-0.44350409507751465'], 'nuc': ['<-0.08853787183761597'], 'alm': ['>=-0.5514203011989594'], 'pox': ['<5.76347804069519']}",{},"{'mit': ['<0.9437613487243652'], 'mcg': ['<0.30624625086784363'], 'gvh': ['<1.0125952661037445', '>=-1.180670142173767'], 'nuc': ['<-0.17582174390554428'], 'alm': ['>=-0.7954428195953369']}",{}
yeast,./data/numerical_only/balanced,"[[-1.53090456 -1.93677431 -0.80832007 -0.66534135 -0.09759001 -0.0991314
   0.86737733  0.22357446]]",{'alm': ['<-0.7506106793880463']},{},{},"{'erl': ['<-0.02262956730555743'], 'mit': ['<-0.49022459983825684', '< -0.9003239820928178 * pox+3.289349737274868'], 'mcg': ['<-1.1039559245109558'], 'alm': ['<-0.28893573582172394', '>=-0.8574761748313904'], 'pox': ['<0.04900698736310005']}",{},"{'erl': ['<0.2910899966955185'], 'mcg': ['<0.18126161396503448'], 'gvh': ['<-1.6709181070327759'], 'nuc': ['>=0.10156195983290672'], 'alm': ['>=-0.9814481735229492'], 'pox': ['<0.2718009352684021']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.72769763  0.72703829 -0.57748259 -0.22754949 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'mit': ['<-0.15458419220522046', '>=-0.6653413474559784'], 'mcg': ['<1.164846420288086'], 'gvh': ['>=0.484873503446579'], 'alm': ['<-0.5197732150554657']}",{},{},"{'mit': ['<0.13873635977506638'], 'mcg': ['<1.4766792058944702', '>=-0.14659999098512344'], 'vac': ['>=0.20967741310596466'], 'gvh': ['<1.0902854204177856'], 'nuc': ['<0.1914985105395317'], 'alm': ['<-0.28893573582172394', '>=-0.8368088006973267']}",{},"{'erl': ['>=-1.6038220524787903'], 'mit': ['<0.12068096175789833'], 'vac': ['>=0.20248301327228546'], 'gvh': ['<1.2259323000907898'], 'nuc': ['<0.09247764758765697'], 'alm': ['>=-0.8213226795196533'], 'pox': ['<0.5013305395841599']}",{}
yeast,./data/numerical_only/balanced,"[[-0.94803948 -0.24162084 -0.11580762 -1.03016789 -0.09759001 -0.0991314
  -0.51725406  0.31751118]]","{'alm': ['>=-0.7506106793880463'], 'nuc': ['>=-0.011267341673374176'], 'mcg': ['<-0.18302906304597855']}",{},{},"{'alm': ['>=-0.6472147703170776'], 'nuc': ['>=0.09000818431377411'], 'mcg': ['<0.5273377597332001']}",{},"{'mit': ['<2.695164680480957'], 'mcg': ['<0.055501123890280724'], 'alm': ['>=-0.5796338021755219'], 'nuc': ['>=0.15374495089054108'], 'pox': ['<6.471686482429504']}",{}
yeast,./data/numerical_only/balanced,"[[-0.51089067 -0.64522881  0.46128609 -0.3005148  -0.09759001 -0.0991314
   1.21353518  0.50538462]]","{'nuc': ['>=-0.10520405881106853'], 'mcg': ['<-0.40160347521305084']}",{},{},"{'mcg': ['<-0.03731279235216789'], 'nuc': ['>=0.15406128764152527'], 'alm': ['>=-0.7736944258213043'], 'pox': ['<0.1788252666592598']}",{},"{'mit': ['<1.17166268825531', '>=-0.5379246175289154'], 'mcg': ['<0.05136808753013611'], 'nuc': ['>=0.11074518039822578'], 'alm': ['>=-0.7771883308887482'], 'pox': ['<1.3499136567115784']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.21769068 -0.16089924  0.11502987 -0.59237604 -0.09759001 -0.0991314
   0.17506163 -0.0582357 ]]","{'vac': ['>=0.0019827038049697876'], 'nuc': ['>=-0.10520405881106853'], 'alm': ['<0.40357671678066254']}",{},{},"{'mit': ['<0.6456804871559143'], 'gvh': ['<1.0538305044174194'], 'alm': ['< -1.7289920089145177 * nuc+0.7888506214404675', '>=-0.7450259327888489'], 'nuc': ['<0.3114507347345352', '>=-0.3870142176747322'], 'pox': ['<2.3004777431488037']}",{},"{'mit': ['<0.7674953043460846'], 'vac': ['>=-0.6974667608737946'], 'gvh': ['<0.5602271258831024', '>=-1.492805540561676'], 'alm': ['<0.405719131231308', '>=-0.7897503972053528'], 'nuc': ['<0.5875183641910553']}",{}
yeast,./data/numerical_only/balanced,"[[-1.6037627   0.08126554  0.57670483 -1.1031332  -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]","{'alm': ['>=-0.46206384897232056'], 'nuc': ['<-0.1991407796740532'], 'gvh': ['>=-1.1699191331863403']}",{},{},"{'erl': ['>=-1.5554113984107971'], 'mcg': ['<-0.984468549489975'], 'nuc': ['<-0.06410674564540386'], 'alm': ['>=-0.49452537298202515']}",{},"{'mit': ['<1.7040504813194275'], 'mcg': ['<0.5527859926223755'], 'gvh': ['>=-0.7399574220180511'], 'alm': ['>=-0.4409405440092087'], 'nuc': ['<-0.3264364078640938'], 'pox': ['>=-2.0825573205947876']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626  0.48487351  0.69212358 -0.08161888 -0.09759001 -0.0991314
  -1.20956976 -0.5279193 ]]","{'nuc': ['<-0.3870142176747322'], 'mit': ['<0.3196903169155121']}",{},{},"{'erl': ['>=-0.8859220445156097'], 'mit': ['<0.6683023571968079'], 'gvh': ['<1.5910583138465881'], 'nuc': ['<-0.08432923443615437'], 'alm': ['>=-0.2568749636411667'], 'pox': ['<3.6947861909866333']}",{},"{'mit': ['<0.727464884519577', '>=-1.5383793115615845'], 'gvh': ['<1.152861475944519'], 'nuc': ['<-0.1205775998532772'], 'alm': ['>=-0.4642093628644943'], 'pox': ['<6.422165095806122', '>=-1.5772120952606201']}",{}
yeast,./data/numerical_only/balanced,"[[-0.43803253 -0.88739359  1.50005477 -1.1031332  -0.09759001 -0.0991314
  -0.17109621 -0.15217242]]","{'nuc': ['>=-0.4809509366750717'], 'gvh': ['<-0.7259503901004791']}",{},{},"{'erl': ['<1.2760093808174133'], 'mit': ['<0.46244852244853973'], 'vac': ['<0.9953052401542664'], 'gvh': ['<0.8656688332557678'], 'alm': ['>=-0.6452283561229706'], 'nuc': ['<-0.13583559915423393', '>=-0.3972247391939163']}",{},"{'mit': ['<0.6409958600997925'], 'vac': ['<1.361177146434784'], 'gvh': ['<0.779029905796051'], 'nuc': ['>=-0.3274981677532196'], 'alm': ['>=0.749832957983017'], 'pox': ['<0.3723680078983307']}",{}
yeast,./data/numerical_only/balanced,"[[-0.43803253  0.08126554 -0.23122636  0.86693014 -0.09759001 -0.0991314
   0.34814056 -0.5279193 ]]","{'mit': ['>=0.7574821710586548'], 'mcg': ['>=-0.5473197400569916']}",{},{},"{'mit': ['>=0.8620811700820923'], 'mcg': ['>=-0.503221407532692'], 'gvh': ['>=-0.020698578271549195'], 'nuc': ['<-0.35193659365177155'], 'alm': ['>=-0.5865945816040039'], 'pox': ['>=-0.2730461321771145']}",{},"{'erl': ['<0.1476738378405571'], 'mit': ['>=0.8304474651813507'], 'mcg': ['<2.0606340765953064', '>=-0.6330384016036987'], 'gvh': ['>=-0.030605535197537392'], 'nuc': ['<0.059858331456780434', '>=-1.4139871001243591'], 'pox': ['>=-0.10151685401797295']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186 -1.12955837 -0.3466451   0.13727705 -0.09759001 -0.0991314
   1.04045625  2.47805575]]","{'mit': ['>=-0.6653413474559784'], 'mcg': ['<0.8369848430156708'], 'vac': ['>=0.7808378636837006'], 'alm': ['>=-0.8660294413566589'], 'nuc': ['>=0.9280998706817627']}",{},{},"{'mcg': ['<-0.006527663877932355'], 'nuc': ['>=0.35725364089012146'], 'alm': ['>=-0.9792285859584808'], 'pox': ['<0.16758181899785995']}",{},"{'mcg': ['<0.0945877693593502'], 'nuc': ['>=0.35606399178504944'], 'alm': ['>=-0.9836917817592621'], 'pox': ['<0.5268227607011795']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.65483949  1.61497582 -0.46206385 -0.51941073 -0.09759001 -0.0991314
   0.69429841  1.53868854]]","{'mit': ['>=-0.7018239796161652'], 'gvh': ['>=-0.36270321905612946'], 'nuc': ['>=0.36447954177856445'], 'alm': ['<-0.058098249923205', '>=-0.8660294413566589']}",{},{},"{'erl': ['>=-2.1253551244735718'], 'mcg': ['<1.7311528325080872'], 'gvh': ['>=1.1389018893241882'], 'nuc': ['>=-0.2930775061249733'], 'alm': ['>=-1.2490097880363464']}",{},"{'mit': ['<1.778996467590332'], 'gvh': ['>=0.19833443313837051'], 'nuc': ['>=-0.030775598250329494'], 'alm': ['>=-1.2490484714508057'], 'pox': ['<2.4304345846176147']}",{}
yeast,./data/numerical_only/balanced,"[[ 1.96628592  2.90652133 -0.69290133  0.06431174 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]","{'mcg': ['>=1.346991777420044'], 'vac': ['>=-1.1230303049087524'], 'gvh': ['>=1.4938934445381165'], 'alm': ['<-0.4043544828891754']}",{},{},"{'mit': ['<1.758149266242981'], 'mcg': ['>=1.8863272070884705'], 'vac': ['<0.0885221716016531'], 'nuc': ['<-0.32662633061408997'], 'gvh': ['>=1.2250494956970215'], 'alm': ['>=-0.7767406105995178']}",{},"{'erl': ['<1.6971423029899597'], 'mcg': ['>=0.7709407806396484'], 'vac': ['<0.08852216915693134'], 'alm': ['>=-0.8828539252281189'], 'gvh': ['>=2.4508641958236694'], 'nuc': ['<-0.13469991087913513']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186  0.48487351 -1.50083253 -0.44644542 -0.09759001 -0.0991314
   0.52121948 -0.5279193 ]]","{'alm': ['<-0.635191947221756'], 'mcg': ['<0.25411975383758545']}",{},{},"{'erl': ['>=-1.3649675250053406'], 'mit': ['<0.4494064152240753'], 'mcg': ['<1.164846420288086', '< -2.194703286929982 * mit+2.5493986875663444'], 'alm': ['<-1.276492178440094']}",{},"{'erl': ['>=-1.8671208620071411'], 'mit': ['<1.1808083653450012'], 'mcg': ['<1.1648464500904083'], 'alm': ['<-0.8744729161262512']}",{}
yeast,./data/numerical_only/balanced,"[[-0.80232321 -1.61388793  1.50005477 -0.44644542 -0.09759001 -0.0991314
  -1.20956976  1.8204987 ]]",{'nuc': ['>=-0.4809509366750717']},{},{},"{'alm': ['>=0.16119736060500145'], 'mit': ['<1.476711630821228'], 'nuc': ['>=0.7247790396213531']}",{},"{'alm': ['>=0.5288506150245667'], 'mit': ['<3.3842333555221558'], 'nuc': ['>=-0.20032355934381485']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626 -0.7259504  -0.57748259 -0.22754949 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]",{'alm': ['<-0.5197732150554657']},{},{},"{'erl': ['>=-0.11878783628344536'], 'mit': ['<0.5024026334285736'], 'mcg': ['>=-0.4380325376987457'], 'alm': ['<-0.5505515336990356', '>=-1.3026339411735535']}",{},"{'erl': ['<-0.009679041686467826'], 'mit': ['<1.1587913632392883'], 'mcg': ['>=-0.3287453353404999'], 'vac': ['>=-1.1976971626281738'], 'gvh': ['<-0.7089080214500427'], 'alm': ['>=-0.7506106793880463'], 'nuc': ['<-0.45168738067150116'], 'pox': ['<0.2623461037874222']}",{}
yeast,./data/numerical_only/balanced,"[[-7.29465075e-01 -4.83785617e-01 -3.88877164e-04 -9.57202582e-01
  -9.75900073e-02 -9.91313957e-02  3.48140558e-01  1.06900494e+00]]","{'mcg': ['<-0.292316272854805'], 'vac': ['>=0.261601097881794'], 'gvh': ['<0.20234793424606323'], 'nuc': ['>=-0.011267341673374176'], 'alm': ['>=-0.7506106793880463']}",{},{},"{'mcg': ['<-0.03731279235216789'], 'nuc': ['>=0.1784125715494156'], 'alm': ['>=-0.9592522978782654'], 'pox': ['>=-0.11479196324944496']}",{},"{'alm': ['>=-0.9352522194385529'], 'nuc': ['>=0.41302694380283356'], 'mcg': ['<-0.035111828707158566']}",{}
yeast,./data/numerical_only/balanced,"[[-1.38518829e+00 -4.03064024e-01 -3.88877164e-04 -6.65341347e-01
  -9.75900073e-02 -9.91313957e-02 -1.71096214e-01 -5.27919305e-01]]","{'alm': ['>=-0.5197732150554657'], 'nuc': ['<-0.3870142176747322'], 'gvh': ['>=-1.3313623666763306']}",{},{},"{'erl': ['>=-1.6752322912216187'], 'mit': ['<0.7757234871387482'], 'nuc': ['<-0.12281719595193863'], 'gvh': ['<1.825608730316162', '>=-1.3313623666763306'], 'alm': ['>=-0.4909185469150543']}",{},"{'mit': ['<1.0278184413909912'], 'vac': ['>=-2.1462841629981995'], 'gvh': ['<1.5898431539535522', '>=-1.0796551704406738'], 'alm': ['>=-0.33454130589962006'], 'nuc': ['<-0.3201238214969635']}",{}
