dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
yeast,./data/numerical_only/balanced,"[[-1.8223371  -1.21027996 -3.23211366 -0.59237604 -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]","{'mcg': ['<0.3998360186815262'], 'alm': ['<-1.2122856974601746']}",{},{},"{'mit': ['<0.8113072216510773'], 'mcg': ['<1.2689294815063477'], 'vac': ['<-0.43071459233760834'], 'alm': ['<-1.1636353135108948']}",{},"{'mcg': ['<1.1676458418369293'], 'alm': ['<-0.795451283454895']}",{}
yeast,./data/numerical_only/balanced,"[[-3.65174399e-01 -4.03064024e-01 -3.88877164e-04  2.47216693e+00
  -9.75900073e-02 -9.91313957e-02 -1.71096214e-01 -5.27919305e-01]]","{'mit': ['>=1.2682393193244934'], 'mcg': ['<0.10840348154306412'], 'gvh': ['<0.04090474249096587'], 'nuc': ['<-0.10520405881106853', '>=-1.0445712804794312']}",{},{},"{'mit': ['>=2.003705620765686'], 'gvh': ['<-0.2012600377202034'], 'nuc': ['<0.3239159435033798'], 'alm': ['>=-1.0378891825675964']}",{},"{'mit': ['>=1.4819350838661194'], 'nuc': ['<0.7640153467655182'], 'vac': ['<1.294687032699585']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186 -0.64522881  0.46128609 -0.66534135 -0.09759001 -0.0991314
   0.00198271  0.78719478]]","{'gvh': ['<-0.6048679947853088'], 'vac': ['<0.261601097881794'], 'mcg': ['>=-0.40160347521305084']}",{},{},"{'mit': ['>= 7.158128297424621 * mcg+-6.45859483418423'], 'nuc': ['>=0.70244300365448'], 'gvh': ['<0.17351879179477692', '>=-0.8470327854156494'], 'vac': ['<0.32341499626636505'], 'alm': ['>=-0.7629770040512085']}",{},"{'nuc': ['>=0.3662150055170059'], 'mcg': ['<1.4022527933120728'], 'alm': ['>=0.3448314815759659']}",{}
yeast,./data/numerical_only/balanced,"[[-1.67662083 -0.88739359  1.846311   -1.1031332  -0.09759001 -0.0991314
  -1.03649083 -0.5279193 ]]","{'gvh': ['<-0.36270321905612946', '>=-0.9277544021606445'], 'nuc': ['<-0.011267341673374176'], 'vac': ['<-0.776872456073761']}",{},{},"{'gvh': ['>=-1.437791347503662'], 'nuc': ['<-0.30100953578948975'], 'alm': ['>=1.7886016368865967']}",{},"{'mcg': ['<2.112002193927765'], 'nuc': ['<-0.3532012850046158'], 'gvh': ['<1.7741271257400513', '>=-1.4084447622299194'], 'vac': ['<-0.43071459233760834'], 'alm': ['>=-0.48610207438468933']}",{}
yeast,./data/numerical_only/balanced,"[[-1.02089762 -0.56450721 -1.26999504 -1.03016789 -0.09759001 -0.0991314
  -0.17109621 -0.5279193 ]]","{'gvh': ['>=-0.8470327854156494'], 'alm': ['<-1.2122856974601746']}",{},{},"{'mcg': ['<0.5838028192520142'], 'alm': ['<-1.1574617624282837', '>=-1.3277044296264648']}",{},"{'mit': ['<1.59829181432724'], 'mcg': ['<0.5733155906200409'], 'alm': ['<-0.7300069332122803']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.29054882 -0.16089924  0.57670483  0.50210359 -0.09759001 -0.0991314
   0.86737733  1.16294166]]","{'mit': ['>=0.4656209200620651'], 'nuc': ['>=0.8341631591320038']}",{},{},"{'mit': ['<1.1186604499816895', '>=0.4656209200620651'], 'mcg': ['<1.695669949054718', '>=0.18126161396503448'], 'nuc': ['>=0.3661569803953171'], 'alm': ['>=-0.7650380432605743']}",{},"{'mit': ['<1.2640952467918396', '>=-0.36871133744716644'], 'mcg': ['<1.882421851158142'], 'nuc': ['>=0.3467974364757538'], 'alm': ['>=-0.7395351827144623']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.65483949  0.80775989 -0.11580762  1.23175668 -0.09759001 -0.0991314
   0.52121948  0.31751118]]","{'mit': ['>=1.1952740550041199'], 'gvh': ['<1.5746150612831116', '>=0.6463166773319244'], 'vac': ['<0.6077589392662048', '>=0.4346800297498703'], 'alm': ['>=-0.8660294413566589']}",{},{},{},{},"{'mit': ['>=0.5630664080381393'], 'mcg': ['>=-0.802323192358017'], 'gvh': ['>=-0.04787285719066858'], 'alm': ['>=-1.07874596118927']}",{}
yeast,./data/numerical_only/balanced,"[[ 1.74771152  2.58363495 -0.46206385 -0.15458419 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]","{'mit': ['>=-0.3734801113605499'], 'mcg': ['>=1.2741336226463318'], 'gvh': ['>=0.8481206893920898'], 'vac': ['<0.08852216915693134'], 'alm': ['>=-0.635191947221756']}",{},{},"{'mit': ['>=-0.2989422678947449'], 'mcg': ['>=1.7112824320793152'], 'gvh': ['>=0.8855985701084137'], 'alm': ['<0.057320493418956175', '>=-0.6791847050189972']}",{},"{'gvh': ['>=1.329300582408905'], 'mcg': ['>=1.4220435619354248'], 'alm': ['>=-0.9126150012016296']}",{}
yeast,./data/numerical_only/balanced,"[[ 2.18486033  2.34147017 -0.80832007 -0.08161888 -0.09759001 -0.0991314
   0.34814056 -0.5279193 ]]","{'gvh': ['>=1.2517286539077759'], 'mcg': ['<2.2212893962860107', '>=1.2741336226463318'], 'alm': ['<-0.635191947221756']}",{},{},"{'mit': ['<0.9372895359992981'], 'mcg': ['>=1.0009156465530396'], 'gvh': ['>=1.4949195384979248'], 'alm': ['<-0.6337247788906097']}",{},"{'gvh': ['>=1.284951090812683'], 'mcg': ['>=1.0308367311954498'], 'alm': ['<-0.7211208641529083']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.14483255 -0.32234243  0.11502987 -0.59237604 -0.09759001 -0.0991314
   0.00198271 -0.5279193 ]]","{'mit': ['<-0.33699746429920197', '>=-0.7018239796161652'], 'mcg': ['<0.21769069135189056', '>=-0.2558871954679489'], 'nuc': ['<-0.10520405881106853'], 'alm': ['<0.28815796971321106', '>=-0.28893573582172394']}",{},{},"{'mit': ['<0.3126744329929352'], 'gvh': ['<-0.16734180599451065'], 'alm': ['<0.17273923382163048', '>=0.000423930847318843']}",{},"{'mit': ['<0.47419877350330353'], 'gvh': ['<-0.11455486342310905', '>=-1.1295685768127441'], 'nuc': ['<0.34585991501808167'], 'alm': ['>=-0.7328609228134155']}",{}
yeast,./data/numerical_only/balanced,"[[-5.83748805e-01 -2.09821750e+00 -1.84708875e+00 -7.38306656e-01
  -9.75900073e-02 -9.91313957e-02  1.98271004e-03 -5.27919305e-01]]","{'nuc': ['<-0.10520405881106853'], 'mcg': ['<0.3998360186815262'], 'alm': ['<-1.4431231617927551']}",{},{},"{'nuc': ['<-0.09531598351895809'], 'mcg': ['<0.39981159567832947'], 'alm': ['<-1.386516511440277']}",{},"{'mit': ['<2.165753662586212'], 'mcg': ['<1.2007537484169006'], 'alm': ['<-0.7553116679191589']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.43626509  0.72703829  0.34586735 -0.73830666 -0.09759001 -0.0991314
  -4.49806931  1.3508151 ]]","{'vac': ['<-0.6037935316562653'], 'mcg': ['<1.2741336226463318'], 'nuc': ['<1.3508151173591614', '>=0.45841626822948456'], 'alm': ['<0.518995463848114', '>=-0.28893573582172394']}",{},{},"{'mit': ['<1.0712330341339111'], 'mcg': ['<1.3805065155029297'], 'nuc': ['>=0.41520537436008453'], 'alm': ['>=-0.7537224888801575']}",{},"{'mit': ['<1.0175184607505798'], 'mcg': ['<1.226073443889618'], 'nuc': ['>=0.3216596394777298'], 'alm': ['>=-0.7514359951019287']}",{}
yeast,./data/numerical_only/balanced,"[[-0.21945813  0.32343032  0.46128609  1.59658323 -0.09759001 -0.0991314
   0.52121948 -0.15217242]]","{'mit': ['>=1.3412046432495117'], 'gvh': ['>=-0.12053844332695007'], 'nuc': ['>=-0.5748876631259918']}",{},{},"{'mit': ['>=1.283216416835785'], 'mcg': ['<0.7641266882419586', '>=-0.5089733600616455'], 'gvh': ['>=-0.060874659568071365'], 'alm': ['>=-0.8509747982025146']}",{},"{'mit': ['>=0.7300737500190735'], 'mcg': ['>=-0.6911910176277161'], 'gvh': ['>=-0.49853527545928955'], 'alm': ['>=-1.4012844562530518']}",{}
yeast,./data/numerical_only/balanced,"[[-0.87518135 -0.16089924  1.0383798  -0.3005148  -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]","{'mit': ['>=-0.6288586854934692'], 'mcg': ['<0.03554534539580345'], 'nuc': ['<-0.1991407796740532'], 'gvh': ['>=-0.36270321905612946'], 'vac': ['<-0.43071459233760834'], 'alm': ['>=0.8652516901493073']}",{},{},{},{},"{'mit': ['<0.8802075684070587'], 'pox': ['<0.7258302271366119'], 'mcg': ['<0.12274004518985748'], 'gvh': ['>=-0.9277544021606445'], 'nuc': ['<-0.3234262466430664'], 'alm': ['>=-0.8293731808662415']}",{}
yeast,./data/numerical_only/balanced,"[[-1.53090456 -1.93677431 -0.80832007 -0.66534135 -0.09759001 -0.0991314
   0.86737733  0.22357446]]","{'vac': ['>=0.261601097881794'], 'mcg': ['<-0.21945812553167343'], 'alm': ['<-0.7506106793880463']}",{},{},"{'mit': ['<0.6480342149734497'], 'mcg': ['<1.2134184837341309'], 'nuc': ['<1.123801350593567'], 'alm': ['<-0.7513853311538696', '>=-0.8660294413566589']}",{},"{'mit': ['<0.5180211365222931'], 'mcg': ['<1.196078598499298'], 'nuc': ['<1.185956597328186'], 'alm': ['<-0.7861745059490204']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.72769763  0.72703829 -0.57748259 -0.22754949 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'mit': ['<0.10079439729452133'], 'mcg': ['>=0.3998360186815262'], 'gvh': ['<0.7673990726470947', '>=0.28306952863931656'], 'alm': ['>=-0.635191947221756']}",{},{},"{'mit': ['<0.4457213133573532'], 'gvh': ['<1.3232773542404175', '>=0.40415192395448685'], 'vac': ['>=0.6982319951057434'], 'alm': ['<-0.4043544828891754', '>=-0.7501216530799866']}",{},"{'vac': ['>=-0.7377897500991821'], 'mit': ['<0.45258674025535583'], 'gvh': ['<1.548497498035431', '>=-1.7880140542984009'], 'nuc': ['<0.29583750665187836'], 'alm': ['<1.4804902076721191', '>=-0.8109061121940613']}",{}
yeast,./data/numerical_only/balanced,"[[-0.94803948 -0.24162084 -0.11580762 -1.03016789 -0.09759001 -0.0991314
  -0.51725406  0.31751118]]","{'mit': ['<-0.11810152977705002'], 'nuc': ['>=-0.3870142176747322'], 'vac': ['<0.261601097881794'], 'alm': ['<-0.058098249923205', '>=-0.28893573582172394']}",{},{},"{'vac': ['<-0.43071459233760834'], 'mcg': ['<-0.8927212655544281'], 'gvh': ['<-0.03981685190228745'], 'nuc': ['<0.33316729962825775', '>=0.3155721127986908'], 'alm': ['>=-0.7524637579917908']}",{},"{'mit': ['<1.1505280137062073'], 'mcg': ['<-0.9116103947162628'], 'nuc': ['>=-0.3870142176747322'], 'gvh': ['<0.02081577555509284'], 'vac': ['<-0.49309809505939484'], 'alm': ['>=-0.7744090259075165']}",{}
yeast,./data/numerical_only/balanced,"[[-0.51089067 -0.64522881  0.46128609 -0.3005148  -0.09759001 -0.0991314
   1.21353518  0.50538462]]","{'mit': ['<0.027829087805002928', '>=-0.33699746429920197'], 'mcg': ['<-0.40160347521305084'], 'nuc': ['>=-0.3870142176747322'], 'alm': ['>=-0.4043544828891754']}",{},{},"{'vac': ['>=1.0404562652111053'], 'mcg': ['<1.5196925401687622'], 'nuc': ['>=0.3649124205112457'], 'alm': ['>=-0.7460896968841553']}",{},"{'nuc': ['>=0.07940688356757164'], 'mcg': ['<1.0268763303756714'], 'alm': ['>=-0.7638407051563263']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.21769068 -0.16089924  0.11502987 -0.59237604 -0.09759001 -0.0991314
   0.17506163 -0.0582357 ]]","{'mcg': ['>=-0.2558871954679489'], 'gvh': ['<0.1216263398528099'], 'nuc': ['>=-0.10520405881106853'], 'alm': ['<0.28815796971321106', '>=-0.28893573582172394']}",{},{},"{'vac': ['>=-0.6254283785820007'], 'mcg': ['>=-0.3287453204393387'], 'nuc': ['>=-0.11862359195947647'], 'alm': ['>=-0.4736057221889496']}",{},"{'vac': ['>=-0.4986684322357178'], 'mit': ['<0.4076656252145767'], 'mcg': ['>=-0.4594842195510864'], 'gvh': ['>=-1.2604398727416992'], 'nuc': ['<0.4509142190217972'], 'alm': ['<0.429543599486351', '>=-0.7327001094818115']}",{}
yeast,./data/numerical_only/balanced,"[[-1.6037627   0.08126554  0.57670483 -1.1031332  -0.09759001 -0.0991314
  -0.69033299 -0.5279193 ]]","{'mit': ['<-0.4099627733230591'], 'mcg': ['<-0.9116103947162628'], 'nuc': ['<-0.1991407796740532'], 'vac': ['<0.261601097881794', '>=-0.776872456073761'], 'alm': ['>=0.28815796971321106']}",{},{},{},{},"{'mit': ['<0.40121978521347046'], 'mcg': ['<0.06231291964650154'], 'gvh': ['<1.379724383354187', '>=-0.8721880316734314'], 'nuc': ['<-0.2527284249663353'], 'alm': ['>=-0.7285621762275696']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626  0.48487351  0.69212358 -0.08161888 -0.09759001 -0.0991314
  -1.20956976 -0.5279193 ]]","{'mcg': ['<0.10840348154306412'], 'gvh': ['>=-0.5241464078426361'], 'vac': ['<-0.43071459233760834'], 'alm': ['>=0.40357671678066254']}",{},{},"{'mit': ['<0.3250337392091751', '>=-0.19106683880090714'], 'mcg': ['<1.6802502870559692'], 'gvh': ['<0.8870138227939606', '>=0.3637911230325699'], 'nuc': ['<0.35926084220409393'], 'alm': ['>=-0.28893573582172394']}",{},"{'mit': ['<0.45199115574359894'], 'mcg': ['<0.28931720554828644'], 'gvh': ['<2.7450780868530273', '>=-1.1671666502952576'], 'nuc': ['<-0.24616055935621262'], 'alm': ['>=-0.7390459179878235']}",{}
yeast,./data/numerical_only/balanced,"[[-0.43803253 -0.88739359  1.50005477 -1.1031332  -0.09759001 -0.0991314
  -0.17109621 -0.15217242]]","{'nuc': ['>=-0.34004586189985275'], 'alm': ['>=0.9806704223155975']}",{},{},"{'nuc': ['>=-0.3389783948659897'], 'mcg': ['<1.7477115392684937'], 'alm': ['>=0.9282073676586151']}",{},"{'mit': ['<1.0161652863025665'], 'nuc': ['>=-0.19977547973394394'], 'alm': ['<1.801422119140625', '>=0.6344142258167267']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.14483255 -1.53316634  0.69212358 -0.73830666 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'mit': ['<-0.7018239796161652'], 'nuc': ['<-0.3870142176747322'], 'gvh': ['<-1.0084760189056396'], 'vac': ['>=0.261601097881794'], 'alm': ['>=-0.4043544828891754']}",{},{},"{'vac': ['<0.9323948323726654', '>=0.261601097881794'], 'mit': ['<-0.1414504274725914'], 'mcg': ['<0.2055969312787056'], 'gvh': ['<-1.4409409761428833', '>= -1.4111628899080118 * alm+-1.665606345419942'], 'nuc': ['>=-0.5842813551425934'], 'alm': ['>=-0.7520046532154083']}",{},"{'mit': ['<0.03042432526126504'], 'pox': ['>=-1.637839436531067'], 'mcg': ['<0.4770173579454422', '>=-1.2495970726013184'], 'gvh': ['<-1.470575213432312'], 'alm': ['>=0.10080251019098796']}",{}
yeast,./data/numerical_only/balanced,"[[-0.43803253  0.08126554 -0.23122636  0.86693014 -0.09759001 -0.0991314
   0.34814056 -0.5279193 ]]","{'mit': ['<0.9763781130313873', '>=0.6845168769359589'], 'gvh': ['>=-0.5241464227437973'], 'vac': ['>=0.08852216915693134']}",{},{},"{'mit': ['>=0.8360601961612701'], 'mcg': ['>=-0.5767432153224945'], 'nuc': ['<-0.4466279149055481'], 'gvh': ['<0.1666441559791565'], 'vac': ['<0.6942984163761139', '>=0.32816991209983826'], 'alm': ['>=-0.23450841009616852']}",{},"{'mcg': ['<-0.3756795674562454'], 'nuc': ['<-0.47692403197288513'], 'gvh': ['<0.3407091200351715'], 'vac': ['<0.9383939206600189'], 'alm': ['<0.14347009733319283', '>=-0.33500708639621735']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186 -1.12955837 -0.3466451   0.13727705 -0.09759001 -0.0991314
   1.04045625  2.47805575]]","{'nuc': ['>=2.1492772102355957'], 'alm': ['>=-0.8660294413566589']}",{},{},"{'nuc': ['>=1.6407232284545898'], 'mcg': ['<0.7704075574874878'], 'alm': ['>=-0.7754269242286682']}",{},"{'nuc': ['>=1.471988022327423'], 'mcg': ['<1.5291370749473572'], 'alm': ['<2.0771484375', '>=-0.9063545763492584']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.65483949  1.61497582 -0.46206385 -0.51941073 -0.09759001 -0.0991314
   0.69429841  1.53868854]]","{'mit': ['<0.3196903169155121'], 'mcg': ['<1.237704575061798', '>=-0.6930359899997711'], 'gvh': ['>=-0.2819816321134567'], 'nuc': ['>=0.45841626822948456'], 'alm': ['>=-0.7506106793880463']}",{},{},"{'mcg': ['<1.5725050568580627'], 'gvh': ['>=-0.022519366058986634'], 'nuc': ['>=0.43381379544734955'], 'alm': ['>=-0.8566144704818726']}",{},"{'mit': ['<0.9800774157047272'], 'mcg': ['<1.5556625127792358'], 'gvh': ['>=0.036111925553996116'], 'nuc': ['>=0.32111771404743195'], 'alm': ['>=-0.8118285536766052']}",{}
yeast,./data/numerical_only/balanced,"[[ 1.96628592  2.90652133 -0.69290133  0.06431174 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]","{'gvh': ['>=1.4938934445381165'], 'mcg': ['<2.2212893962860107', '>=1.2741336226463318'], 'alm': ['<-0.635191947221756']}",{},{},"{'mit': ['>=-0.31093841791152954'], 'mcg': ['>=1.2478923201560974'], 'gvh': ['>=0.8481206893920898'], 'vac': ['<0.32341499626636505'], 'alm': ['<-0.058098249923205', '>=-0.7442528903484344']}",{},"{'mit': ['>=-0.33699746429920197'], 'mcg': ['>=1.2652621865272522'], 'gvh': ['>=1.5706111192703247'], 'vac': ['<0.2180931568145752'], 'alm': ['>=-0.7802297174930573']}",{}
yeast,./data/numerical_only/balanced,"[[-0.07374186  0.48487351 -1.50083253 -0.44644542 -0.09759001 -0.0991314
   0.52121948 -0.5279193 ]]","{'mcg': ['<0.3998360186815262'], 'gvh': ['>=0.04090474249096587'], 'nuc': ['<-0.3870142176747322'], 'alm': ['<-0.7506106793880463']}",{},{},"{'mit': ['>=-0.5558933913707733'], 'mcg': ['<0.43450644612312317', '>=-0.11017092689871788'], 'alm': ['<-0.7557846307754517']}",{},"{'mit': ['<1.393754005432129'], 'mcg': ['<1.1248531937599182'], 'alm': ['<-0.762610912322998']}",{}
yeast,./data/numerical_only/balanced,"[[-0.80232321 -1.61388793  1.50005477 -0.44644542 -0.09759001 -0.0991314
  -1.20956976  1.8204987 ]]","{'mit': ['<1.0858260989189148'], 'nuc': ['>=-0.1991407796740532'], 'alm': ['>=0.9806704223155975']}",{},{},"{'mit': ['<1.0618842840194702'], 'nuc': ['>=0.33512431383132935'], 'alm': ['>=0.5829437077045441']}",{},"{'mit': ['<1.055820643901825'], 'mcg': ['<1.9977508783340454'], 'gvh': ['<1.0184309482574463'], 'nuc': ['>=-0.2850097119808197'], 'alm': ['>=-0.9315679669380188']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626 -0.7259504  -0.57748259 -0.22754949 -0.09759001 -0.0991314
  -0.34417514 -0.5279193 ]]","{'mcg': ['<-0.2558871954679489', '>=-0.9116103947162628'], 'alm': ['<-0.28893573582172394', '>=-0.7506106793880463']}",{},{},"{'mit': ['<0.14403309673070908', '>=-0.4099627733230591'], 'gvh': ['<-0.29543522745370865'], 'nuc': ['<0.37143781781196594'], 'alm': ['<-0.4043544828891754', '>=-0.7521917819976807']}",{},"{'vac': ['<0.261601097881794'], 'mit': ['<0.14764932543039322', '>=-0.993685245513916'], 'gvh': ['<-0.24162083119153976', '>=-1.213924527168274'], 'nuc': ['<0.38207556307315826'], 'alm': ['>=-0.7524375319480896']}",{}
yeast,./data/numerical_only/balanced,"[[-7.29465075e-01 -4.83785617e-01 -3.88877164e-04 -9.57202582e-01
  -9.75900073e-02 -9.91313957e-02  3.48140558e-01  1.06900494e+00]]","{'mit': ['<-0.33699746429920197'], 'mcg': ['<-0.40160347521305084'], 'gvh': ['>=-1.4524447321891785'], 'vac': ['<0.4346800297498703'], 'alm': ['<0.749832957983017', '>=-0.17351698875427246']}",{},{},"{'vac': ['<0.5062988847494125'], 'mcg': ['<-0.6184870600700378'], 'nuc': ['>=0.36743171513080597'], 'alm': ['>=-0.7491497099399567']}",{},"{'pox': ['<6.1246867179870605'], 'mcg': ['<-0.3292947858572006'], 'nuc': ['>=0.5735017657279968'], 'alm': ['>=-0.8445070087909698']}",{}
